,Average,Value,Weighted,Returns,--,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Small,Small,Small,Small,Small,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,Big,Big,Big,Big,Big,,,,,,
BE/ME,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,,,,,,
193601,26.94,15.49,21.82,14.56,33.28,16.43,12.49,9.49,10.27,26.81,7.23,7.53,9.04,10.1,17.61,2.13,6.87,8.92,8.35,6.17,2.55,6.36,8.62,14.84,16.29,,,,,,
193602,9.46,12.78,6.77,10.02,9,1.7,6.71,5.61,8.92,3.87,-1.53,1.65,6.12,7.3,3.88,2.59,4.04,6.14,4.8,8.43,1.88,1.18,3.99,3.38,3.75,,,,,,
193603,9.46,1.38,5.56,3.01,1.24,-0.37,1.35,3.33,-1.11,1.25,1.7,2.9,3.48,4.55,1.61,-0.46,-0.4,3.19,1.52,-4.36,3.58,1.27,-1.82,1.26,-3.56,,,,,,
193604,-28.6,-29.05,-12.37,-14.03,-21.72,-19.41,-13.35,-15.93,-16.43,-17.69,-8.17,-10.81,-12.41,-12.19,-8.35,-8.31,-9,-11.9,-12.09,-12.46,-6.17,-8.26,-7.05,-10.57,-8,,,,,,
193605,1.81,8.62,1.89,10.6,5.9,5.21,4.59,7.57,5.84,6.97,1.5,4.97,5.58,2.87,12.55,5.12,1.79,4.54,5.98,8.18,4.78,5.2,4.71,6.25,8.39,,,,,,
193606,-0.94,-3.22,1.47,-4.21,-1.64,-2.15,1.62,-3.67,-3.47,1.64,3.6,-2.72,2.49,2.89,-3,0.07,-1.05,0.45,0.26,0,4.44,1.53,2.77,2.16,1.17,,,,,,
193607,2.41,1.9,15.39,11.06,7.3,10.8,13.5,8.82,7.29,4.68,8.14,9.39,9.1,5.35,16.23,8.03,4.9,8.43,8.43,12.61,5.72,5.37,5.74,11.49,10.03,,,,,,
193608,-4.66,1.72,5.73,5.59,2.5,-0.73,3.03,2.54,2.06,5.53,0.12,0.88,3.89,2.83,5.09,0.65,1.68,2.72,3.18,6.09,0.07,1.01,0.53,3.13,4.13,,,,,,
193609,-3.5,2.35,-0.11,7.61,5.17,5.31,4.67,4.66,2.36,2.77,4.17,1.09,5.97,4.05,0.63,1.74,2.75,1.31,2.42,4.18,1.22,0.56,1.13,1.08,-0.55,,,,,,
193610,10.24,3.7,2.31,12.6,5.5,1.57,6.09,8.01,9.18,5.72,3.99,1.55,9.54,7.35,5.45,3.97,4.97,6.59,18.4,3.21,6.57,5.51,9.56,11,5.18,,,,,,
193611,13.18,5.43,11.65,14.96,14.04,11.49,14.15,8.09,12.83,11.46,9.71,8.1,11.95,8.8,7.65,4.07,3.46,5.67,8.02,4.47,3.38,4.01,2.48,-1.21,-3.28,,,,,,
193612,-2.42,-2.17,4.26,0.74,3.87,3.65,4.53,1.71,8.58,8.7,0.92,3.15,3.26,-0.99,5.08,0.55,2.44,3.14,2.83,2.69,-2.71,0.04,2.07,3.46,0.32,,,,,,
193701,26.25,8.3,22.16,10.46,10.4,7.78,8.5,5.37,9.23,5.88,4.92,4.92,10.34,7.59,6.4,2.9,5.52,3.39,3.75,8.65,3.58,3.19,-0.33,4.09,11.67,,,,,,
193702,-12.72,-7.59,-9.69,8.95,10.66,-0.35,6.41,2.25,0.64,10.49,2.46,1.63,0.51,3.69,5.57,0.47,2.07,1.47,2.83,11.16,-0.27,0.37,0.66,2.77,10.8,,,,,,
193703,-6.86,-4.02,2.29,-0.71,4.61,-1.67,-5.02,-1.68,3.06,1.11,-2.24,-1.34,-0.44,-3.07,6.55,-2.66,0.54,2.43,0.4,11.36,-2.21,-0.42,-0.36,4.24,7.81,,,,,,
193704,-20.32,-12.98,-19.6,-13.89,-18.36,-8.87,-11.66,-11.54,-14.71,-13.58,-8.49,-8.53,-7.52,-7.32,-10.52,-6,-8.64,-8.38,-15.36,-11.83,-6.71,-5.21,-6.16,-7.91,-9.85,,,,,,
193705,-5.83,-3.9,-3.1,0.5,-4.78,-0.43,0.91,-2.57,-1.77,-9.05,-1.17,-2.56,-1.3,-2.81,-3.54,-0.14,-1.58,-1.9,-2.98,-1.51,-0.07,-1.43,0.17,-2.99,-2.57,,,,,,
193706,-18.75,-12.18,-13.04,-9.94,-14.3,-5.98,-5.8,-8.05,-7.74,-12.81,-5.62,-6.61,-6.28,-6.28,-10.64,-4.39,-6.22,-5.43,-6.29,-9.49,-4.36,-2.24,-2.24,-5.05,-7.29,,,,,,
