Date,Mkt-RF,SMB,HML,RF
193601,6.6,6.43,10.09,0.01
193602,2.56,0.77,3.98,0.01
193603,0.92,1.1,-2.23,0.02
193604,-8.07,-6.81,-2.18,0.02
193605,5.01,0.81,2.69,0.02
193606,2.57,-3.2,-0.97,0.03
193607,6.45,1.12,1.35,0.01
193608,1.06,-0.09,3.84,0.02
193609,1.42,3.12,-0.32,0.01
193610,6.89,-2.19,1.61,0.02
193611,3.32,8.34,-1.01,0.01
193612,0.21,3.67,4.96,0
193701,3.24,4.21,3.22,0.01
193702,1.28,0.63,5.94,0.02
193703,-0.36,-2.15,7.05,0.01
193704,-7.45,-3.4,-4.91,0.03
193705,-0.92,-0.74,-3.17,0.06
193706,-4.19,-3.05,-3.56,0.03
193707,8.86,1.17,0.15,0.03
193708,-4.88,0.51,-1.99,0.02
193709,-13.58,-6.76,-4.54,0.04
193710,-9.49,0.51,-1.53,0.02
193711,-8.39,-3.24,0.22,0.02
193712,-4.01,-7.8,-0.85,0
193801,0.76,5.19,-2.22,0
193802,5.79,0.6,-1.96,0
193803,-23.7,-3.56,-4.41,-0.01
193804,14.55,6.58,-0.35,0.01
193805,-3.92,-2.38,-0.42,0
193806,23.61,3.53,2.11,0
193807,7.2,6.72,0.78,-0.01
193808,-2.72,-2.46,-4.26,0
193809,0.84,-2.53,-1.26,0.02
193810,7.77,6.62,3.98,0.01
193811,-1.77,-2.42,-0.76,-0.06
193812,4.1,-1.85,0.77,0
193901,-5.95,-1.43,-3.52,-0.01
193902,3.48,0.31,3.23,0.01
193903,-11.91,-5.41,-8.31,-0.01
193904,-0.23,1.97,0.29,0
193905,6.86,3.87,-0.08,0.01
193906,-5.29,-1.68,-5.54,0.01
193907,10.18,4.62,0.55,0
193908,-6.6,-4.5,-2.99,-0.01
193909,15.95,18.77,23.27,0.01
193910,-0.38,0.26,-4.66,0
193911,-3.68,-4.43,-6.54,0
193912,3.03,0.67,-3.84,0
194001,-2.4,0.21,-0.75,0
194002,1.37,2.32,-0.44,0
194003,1.89,1.63,-1.12,0
194004,0.12,3.57,-0.28,0
194005,-22.01,-6.21,-4.04,-0.02
194006,6.67,-2.34,4.8,0
194007,3.21,0.87,-0.57,0.01
194008,2.41,0.19,0.47,-0.01
194009,2.3,3.39,-1.7,0
194010,2.97,-0.17,5.43,0
194011,-1.63,2.06,0.49,0
194012,0.68,-2.41,-1.31,0
194101,-4.04,0.85,3.22,-0.01
194102,-1.47,-1.21,1.05,-0.01
194103,0.95,0.12,2.95,0.01
194104,-5.3,-1.69,3.43,-0.01
194105,1.39,-0.83,0.52,0
194106,5.87,1.47,0.66,0
194107,5.92,5.74,7.25,0.03
194108,-0.06,-0.16,-1.2,0.01
194109,-0.76,-1.43,0.28,0.01
194110,-5.18,-2.1,1.31,0
194111,-1.94,-1.05,-0.64,0
