Date,Div_growth,DEF = LT Corp. - LT govt.,TERM = ST govt.-LT govt.
193601,0.00199,0.00266,0.005395
193602,0.003113,-0.00269,0.00799
193603,0.003308,-0.002406,0.010458
193604,0.00125,-0.000924,0.003359
193605,0.004499,-4.90E-05,0.003887
193606,0.00385,0.006057,0.001823
193607,0.001788,-0.004869,0.005868
193608,0.004297,-0.004346,0.010921
193609,0.00387,0.009841,-0.003219
193610,0.001659,0.001929,0.000373
193611,0.008851,-0.009431,0.02044
193612,0.006093,-0.002819,0.003802
193701,0.001511,0.003695,-0.001403
193702,0.002874,-0.013125,0.008466
193703,0.003488,0.031027,-0.041285
193704,0.001251,0.0029,0.003543
193705,0.004813,-0.001262,0.004632
193706,0.004485,0.007083,-0.002094
193707,0.001707,-0.009786,0.013498
193708,0.00437,0.008822,-0.010674
193709,0.004588,-0.001974,0.004114
193710,0.001679,0.002455,0.004067
193711,0.012009,-0.002832,0.00935
193712,0.008907,-0.001529,0.008203
193801,0.001791,-0.00193,0.005707
193802,0.004058,-0.004154,0.005128
193803,0.004659,-0.005059,-0.003589
193804,0.002049,-0.007027,0.020848
193805,0.00458,-0.003408,0.004406
193806,0.005373,0.009048,0.000435
193807,0.001593,0.002263,0.004381
193808,0.003361,-0.0019,-4.30E-05
193809,0.003888,0.008634,0.002065
193810,0.001564,-0.000675,0.008575
193811,0.004975,0.005903,-0.001571
193812,0.005398,0.00414,0.008009
193901,0.001342,-0.003668,0.005944
193902,0.00404,-0.001574,0.007896
193903,0.003934,-0.010183,0.012604
193904,0.00162,-0.005309,0.01181
193905,0.004697,-0.011952,0.016992
193906,0.004523,0.006217,-0.002819
193907,0.001686,-0.011894,0.011317
193908,0.004495,-0.019522,-0.020014
193909,0.004464,0.073589,-0.054574
193910,0.001316,-0.016596,0.040953
193911,0.008604,-0.008142,0.016153
193912,0.006746,-0.006564,0.014438
194001,0.0015,0.006601,-0.001708
194002,0.004934,-0.000584,0.00267
194003,0.003997,-0.012551,0.017673
194004,0.001874,-0.00572,-0.003509
194005,0.005907,0.028667,-0.029762
194006,0.005675,-0.013359,0.025762
194007,0.002003,-0.003074,0.005071
194008,0.00663,-0.00209,0.002857
194009,0.004865,-0.00181,0.011013
194010,0.002016,0.001776,0.003101
194011,0.010043,-0.013882,0.020449
194012,0.007725,-0.008926,0.006677
194101,0.001581,0.021083,-0.019992
194102,0.006116,-0.001417,0.002095
194103,0.005739,-0.011666,0.009463
194104,0.001834,-0.005067,0.013001
194105,0.008071,0.002158,0.002693
194106,0.006834,-0.000275,0.006535
194107,0.002224,0.004136,0.001866
194108,0.006895,0.001594,0.001736
194109,0.005075,0.005967,-0.001246
194110,0.002292,-0.010461,0.013967
194111,0.01273,-0.006479,-0.002989
194112,0.009671,0.018671,-0.017818
194201,0.001759,-0.006287,0.006752
194202,0.006394,-0.001934,0.001025
194203,0.006616,-0.002839,0.009056
194204,0.002339,0.00353,-0.002988
194205,0.007912,-0.005481,0.007265
194206,0.007461,0.003105,4.50E-05
194207,0.002459,0.000238,0.00151
194208,0.006584,-0.000251,0.003463
194209,0.005983,0.00167,4.80E-05
194210,0.001944,-0.001823,0.002109
194211,0.010475,0.004114,-0.003788
194212,0.008668,-5.00E-06,0.004623
194301,0.001472,0.001622,0.002977
194302,0.005217,0.001151,-0.000813
194303,0.005006,0.001073,0.000608
194304,0.001567,7.90E-05,0.004528
194305,0.005515,-0.000239,0.004789
194306,0.005115,0.002963,0.001529
194307,0.001508,0.00198,-0.000371
194308,0.004732,-0.000169,0.001773
194309,0.005005,-0.000589,0.000806
194310,0.001133,-0.001393,0.000211
194311,0.008742,-0.00225,-0.000345
194312,0.007098,0.003094,0.001503
194401,0.001365,-0.000106,0.001812
194402,0.005139,0.000199,0.002917
194403,0.004769,0.00271,0.001839
194404,0.00129,0.00206,0.00106
194405,0.006089,-0.002273,0.002525
194406,0.005268,0.001219,0.000492
194407,0.001389,-0.000229,0.003336
194408,0.005292,0.000706,0.002393
194409,0.003906,0.000493,0.001169
194410,0.001465,0.000703,0.000893
194411,0.00905,0.002427,0.002075
194412,0.005696,0.010636,0.003978
194501,0.001236,-0.004996,0.0124
194502,0.004639,-0.003043,0.00744
194503,0.004004,-0.000251,0.001804
194504,0.001204,-0.014001,0.015734
194505,0.005816,-0.006689,0.005325
194506,0.003591,-0.013452,0.016635
194507,0.001217,0.007555,-0.00889
194508,0.00475,-0.002183,0.002289
194509,0.00336,-0.002211,0.005143
194510,0.001127,-0.007153,0.010114
194511,0.007037,-0.009229,0.012302
194512,0.003741,-0.006012,0.019118
194601,0.001147,0.010251,0.002222
194602,0.0036,0.000217,0.002909
194603,0.003319,0.002384,0.000726
194604,0.001081,0.009357,-0.013823
194605,0.004203,0.003134,-0.001529
194606,0.002858,-0.005068,0.006729
194607,0.001522,0.002801,-0.00431
194608,0.004035,0.002376,-0.011437
194609,0.003408,-0.001662,-0.001235
194610,0.00168,-0.005339,0.007076
194611,0.007265,0.002926,-0.005696
194612,0.006965,-0.00313,0.014168
194701,0.001543,0.001121,-0.000919
194702,0.005318,-0.001598,0.00183
194703,0.003966,0.00471,0.001686
194704,0.001773,0.005691,-0.003961
194705,0.006734,-0.001338,0.003059
194706,0.004635,-0.000617,0.000714
194707,0.001988,-0.004225,0.005949
194708,0.00546,-0.015109,0.007854
194709,0.004751,-0.008788,-0.004995
194710,0.001968,-0.006183,-0.004382
194711,0.009772,0.007745,-0.018025
194712,0.007594,0.022012,-0.019959
194801,0.001757,0.000374,0.001298
194802,0.006234,-0.000741,0.003918
194803,0.005699,0.008051,0.002533
194804,0.002135,-0.000666,0.003649
194805,0.005977,-0.013135,0.013349
194806,0.005082,0.000101,-0.009298
194807,0.001445,-0.003087,-0.002935
194808,0.006685,0.00536,-0.00072
194809,0.005255,0.001002,0.001038
194810,0.002855,0.001656,0.00035
194811,0.010626,0.000915,0.007184
194812,0.008669,0.007441,0.005172
194901,0.001932,-0.004337,0.00721
194902,0.007401,-0.001082,0.003999
194903,0.006127,-0.006698,0.006469
194904,0.002567,0.001151,0.000224
194905,0.007055,0.00185,0.000931
194906,0.006481,-0.008169,0.015733
194907,0.001694,0.006533,0.002478
194908,0.008032,-0.00733,0.010191
194909,0.004757,0.003244,-0.002002
194910,0.001776,0.004814,0.000984
194911,0.013924,-3.00E-06,0.001265
194912,0.007514,-0.019587,0.00429
195001,0.001869,0.00988,-0.007044
195002,0.007072,-0.001414,0.001265
195003,0.005228,0.001378,-0.000131
195004,0.001924,-0.003787,0.002138
195005,0.007368,-0.004097,0.002272
195006,0.004736,0.004812,-0.003466
195007,0.001529,0.001344,0.004561
195008,0.010646,0.002401,0.000431
195009,0.00505,0.003364,-0.008251
195010,0.00173,0.003989,-0.005926
195011,0.016716,0.00189,0.002443
195012,0.00685,0.000676,0.000517
195101,0.001957,-0.003859,0.004518
195102,0.006704,0.003012,-0.00843
195103,0.004603,-0.008097,-0.016781
195104,0.001563,0.005384,-0.007525
195105,0.007548,0.005448,-0.008146
195106,0.004272,-0.003159,-0.007313
195107,0.001356,0.006573,0.012471
195108,0.008292,0.001531,0.008509
195109,0.003722,0.002268,-0.009151
195110,0.001912,-0.015505,-0.000537
195111,0.010249,0.007603,-0.01466
195112,0.004989,0.011963,-0.007312
195201,0.00157,0.017034,0.001269
195202,0.007229,-0.009881,0.000243
195203,0.004117,-0.003434,0.009984
195204,0.001688,-0.017177,0.015885
195205,0.007529,0.006472,-0.00465
195206,0.003961,0.001299,-0.001183
195207,0.001496,0.003567,-0.003465
195208,0.007109,0.013384,-0.008445
195209,0.003895,0.011348,-0.014611
195210,0.001639,-0.010715,0.013361
195211,0.009609,0.012359,-0.002586
195212,0.004646,-0.000525,-0.010211
195301,0.001075,-0.009166,-0.000442
195302,0.007323,0.004721,-0.010068
195303,0.003796,0.005559,-0.010631
195304,0.001411,-0.014442,-0.01211
195305,0.007314,0.011926,-0.016443
195306,0.004122,-0.011111,0.020384
